uber_Name,google_Name,average_health_score,cid,uber_id,uber_categories,google_tags,google_categories
Iron Chef Bonnyrigg,Iron Chef Bonnyrigg Chinese Seafood Restaurant,-2.106666666666667,a17291518547725942095,UBpe8UUsRYu0UT3mMgbMtw,"asian,seafood,chinese","dinner,dish,parking,robot,yum cha,waitres,pay,table,promotion,lady","chinese,restaurant"
Avoca Woodfire Pizza Cafe,Avoca Woodfire Pizza,-5.393662250346056,a9757951028811554469,3TIdlBgKQ0WwwqsdDC-Uow,"italian,pizza","smile,price,garlic bread,dough,italian,pay","pizza,european,pizza delivery,pizza takeout"
Mingfa Chinese Restaurant,Ming Fa Chinese Takeaway,-0.6699999999999999,a3679637413906553193,Rsr1iCxOS5OO0QxgSp7g1g,"asian fusion,asian,chinese","fried rice,price","restaurant,chinese takeout"
Bricks & Brunch,Bricks + Brunch,-7.148852481398048,a17264696054051301388,8hbls72HSbirAn79n0aPKw,"fast food,comfort food,burger,american","egg,parking,chef,nutella,cooked,area,waitres,pancake,burger,acai bowl","cafe,coffee,breakfast,restaurant"
Lam Ky,Lam Ky Noodle and Sweet,-2.1999999999999997,a6300416972883175410,vigFZUyLUP2ESJcQpCZ3oQ,"healthy,noodle,vietnamese","chicken noodle,price,crispy,cooked,egg noodle,tomato rice,skin,table,takeout,noodle soup",restaurant
Kitchen X,Kitchen X at Bar 53,-6.89180330853073,a2770795952201835939,CW1NywBbQkWGrMaV3jkxXg,"comfort food,burger,american",burger,restaurant
SenViet Food,Send Viet Food,0.1974999999999999,a8723650543700730099,W8X3t3KNRJe6YSy9bc8xgQ,"asian,soup,noodle,vietnamese",,vietnamese
Vy Hoa,Vy Hoa Restaurant,-1.0046373090537872,a7457040172634250273,9CyVIRSeTFqiKOj4ygoBvQ,"beef noodle,south east asian,noodle,vietnamese",,restaurant
"Il Piatto - Italian, Pizza and pasta",Il Piatto Restaurant,-4.375774833564037,a6522573232586432286,SJB0M9kYT92BEIdCcWqVUQ,"italian,pasta,pizza","night,wine,food,entree,birthday,price,chef,parking,service,money,portion size",italian
Big Chief Roadhouse,Big Chief's Roadhouse,-4.9602339181286546,a1966926821315939061,Xq9mFFYnViWEZv7dn66bCQ,"seafood,burger,drink","parking,sub,cooked,coffee,egg roll,burger,bacon,schnitzel","takeout,coffee"
Adriano's Pizza On Wheels,Adriano's Woodfire Pizza & Catering,-5.03571386853586,a6867172207894220832,STkaLe8IWPSStgAxdYSC0g,"italian,pizza,dessert,allergy friendly","italian,dough","pizza takeout,drink supplier,food manufacturing supply,catering food"
Zesto,Zesto Cafe,-6.318281077323651,a3415643595157923451,0zjuE6QLTCS7xNsnUfDf3w,"chicken,breakfast and brunch,burger","price,lunch,wrap,chicken,burger,schnitzel",coffee
IGA Vicsfresh Greenfield,VicsFresh IGA Greenfield Park,-7.265,a14558525204843635168,gzNMFgx7Semv5-5FTQIs-Q,"convenience,grocery","parking,price,quality,deli,produce,shopping centre",supermarket
Zaap by Chang,Zaap by Chang Thai Lao Restaurant,-0.9259590679876383,a15079257553019005888,1iyWHAzHXpS47NuW26xY6w,"asian,thai,stir​ fried,noodle","skewer,night,pork,sticky rice,fish cake,lao sausage,signature,salty,grilled,choice",thai
Silver Pearl Seafood Restaurant,SILVER PEARL,-0.6699999999999999,a238744340407788689,DNLWlu_jTdSpyBQZzSDP6Q,"asian fusion,asian,chinese","function,dish,price,hot pot,team,ox tail,to go,reception","seafood,event venue,wedding venue,wedding service"
Sharetea (Fairfield),Sharetea Fairfield Station,-4.953333333333333,a17201190370143060247,qx3xHd4wTPGYl5i6WoEKJQ,"cafe,bubble tea,juice and smoothy",,bubble tea
Philliez (Edmondson Park),Philliez Edmonson park,-6.643081985118438,a9813975329217462759,lH4X0VM3RU-rtfYTo3Nayg,"halal,burger,comfort food,american,fast food","hot dog,rib,manager,order,cheese steak,halal,fry,roll,hair,mexican",restaurant
